Region,Year,Month,Dengue_Cases,Risk_Score,Risk_Level,Outbreak
Region IX,2016,February,432,6.487852386171662,高,0
Region IX,2016,March,414,6.444222222222223,高,0
Region IX,2016,April,286,6.266296830616106,高,0
Region IX,2016,May,451,6.096331018650295,高,0
Region IX,2016,June,641,6.908397142153239,高,0
Region IX,2016,July,1025,7.373583015396831,高,0
Region IX,2016,August,1016,6.225480947161671,高,0
Region IX,2016,September,693,5.75,中,0
Region IX,2016,October,690,5.475480947161671,中,0
Region IX,2016,November,520,5.475480947161671,中,0
Region IX,2016,December,451,5.595555555555555,中,0
Region IX,2017,January,527,5.764439804022967,中,0
Region IX,2017,February,404,6.310074608393885,高,0
Region IX,2017,March,261,5.998444444444445,中,0
Region IX,2017,April,291,5.285166321278701,中,0
Region IX,2017,May,293,5.216280793960895,中,0
Region IX,2017,June,521,6.013934774364809,高,0
Region IX,2017,July,882,7.351861769835557,高,0
Region IX,2017,August,468,6.225480947161671,高,0
Region IX,2017,September,115,5.185777777777778,中,0
Region IX,2017,October,108,1.9332587249394488,极低,0
Region IX,2017,November,196,2.403851317532041,低,0
Region IX,2017,December,208,2.556113378684807,低,0
Region IX,2018,January,299,3.692092058272782,低,0
Region IX,2018,February,341,4.651209502485299,中,0
Region IX,2018,March,288,5.430559386973179,中,0
Region IX,2018,April,220,5.195852386171662,中,0
Region IX,2018,May,315,5.265867003333037,中,0
Region IX,2018,June,366,5.303015873015873,中,0
Region IX,2018,July,754,6.564963497282774,高,0
Region IX,2018,August,780,6.9266303724490275,高,0
Region IX,2018,September,658,6.75,高,0
Region IX,2018,October,630,6.475480947161671,高,0
Region IX,2018,November,700,6.586592058272782,高,0
Region IX,2018,December,810,6.9071428571428575,高,0
Region IX,2019,January,775,7.225480947161671,高,0
Region IX,2019,February,1003,8.068712601225426,极高,0
Region IX,2019,March,1105,8.351694915254237,极高,0
Region IX,2019,April,948,8.524519052838329,极高,0
Region IX,2019,May,1602,9.214392470559847,极高,0
Region IX,2019,June,3201,9.24812734082397,极高,0
Region IX,2019,July,7024,8.774519052838329,极高,1
Region IX,2019,August,4233,7.225480947161671,高,1
Region IX,2019,September,3304,6.75,高,1
Region IX,2019,October,1773,6.475480947161671,高,0
Region IX,2019,November,1507,6.475480947161671,高,0
Region IX,2019,December,972,5.95,中,0
Region IX,2020,January,577,6.225480947161671,高,0
Region IX,2020,February,593,6.802248688886856,高,0
Region IX,2020,March,433,7.0311111111111115,高,0
Region IX,2020,April,115,6.390296830616107,高,0
Region IX,2020,May,164,4.43171712047118,中,0
Region IX,2020,June,124,3.681777777777778,低,0
Region IX,2020,July,168,3.3800244291824155,低,0
Region IX,2020,August,213,3.062449201129925,低,0
Region IX,2020,September,107,2.570222222222222,低,0
Region IX,2020,October,79,1.5608142804950043,极低,0
Region IX,2020,November,60,1.2228142804950044,极低,0
Region IX,2020,December,51,1.3211111111111111,极低,0
Region V,2016,January,237,2.015480947161671,低,0
Region V,2016,February,161,3.859852386171662,低,0
Region V,2016,March,118,3.7893333333333334,低,0
Region V,2016,April,94,3.6469634972827736,低,0
Region V,2016,May,96,3.452017870805232,低,0
Region V,2016,June,106,3.2590555555555554,低,0
Region V,2016,July,248,3.9105190528383296,低,0
Region V,2016,August,346,3.88642001526203,低,0
Region V,2016,September,378,3.998485549132948,低,0
Region V,2016,October,319,3.90236983605056,低,0
Region V,2016,November,242,3.4328142804950037,低,0
Region V,2016,December,187,3.0331111111111113,低,0
Region V,2017,January,232,3.322567102836062,低,0
Region V,2017,February,178,3.935442448283464,低,0
Region V,2017,March,111,3.896888888888889,低,0
Region V,2017,April,130,4.210224502969311,中,0
Region V,2017,May,66,3.6456301639494404,低,0
Region V,2017,June,163,4.582624737945492,中,0
Region V,2017,July,373,4.925440199791734,中,0
Region V,2017,August,435,4.9658151087186635,中,0
Region V,2017,September,367,4.665555555555556,中,0
Region V,2017,October,508,5.109709177031544,中,0
Region V,2017,November,323,5.141302802074435,中,0
Region V,2017,December,339,4.850369828314101,中,0
Region V,2018,January,297,4.60520891651033,中,0
Region V,2018,February,168,4.449852386171662,中,0
Region V,2018,March,157,4.363525525525525,中,0
Region V,2018,April,173,4.452532444966371,中,0
Region V,2018,May,136,5.080296830616107,中,0
Region V,2018,June,235,4.840103412326076,中,0
